k= 4
errt: 2.45863    errv: 4.40893
errt: 2.54119    errv: 3.29553
errt: 2.35760    errv: 5.73741
errt: 2.40915    errv: 5.14774
errt: 2.44300    errv: 4.17582
errt: 2.43424    errv: 4.62824
errt: 2.53408    errv: 3.33348
errt: 2.58078    errv: 3.34120
errt: 2.55290    errv: 3.68546
errt: 2.52666    errv: 3.47417
k= 8
errt: 2.97980    errv: 4.06421
errt: 3.08207    errv: 2.96639
errt: 2.85049    errv: 5.32852
errt: 2.89672    errv: 4.90980
errt: 2.99490    errv: 3.71871
errt: 2.95202    errv: 4.37973
errt: 3.08980    errv: 2.90158
errt: 3.11559    errv: 2.84118
errt: 3.05108    errv: 3.41429
errt: 3.08251    errv: 3.06695
k= 16
errt: 3.24095    errv: 3.90900
errt: 3.35298    errv: 2.77370
errt: 3.11692    errv: 5.04602
errt: 3.15715    errv: 4.72486
errt: 3.27397    errv: 3.55760
errt: 3.20666    errv: 4.21801
errt: 3.36700    errv: 2.68448
errt: 3.38340    errv: 2.60484
errt: 3.31774    errv: 3.30115
errt: 3.34886    errv: 2.93299
k= 32
errt: 3.38306    errv: 3.77921
errt: 3.49186    errv: 2.72341
errt: 3.24759    errv: 4.97350
errt: 3.28056    errv: 4.66159
errt: 3.40787    errv: 3.46992
errt: 3.33848    errv: 4.12896
errt: 3.50373    errv: 2.61286
errt: 3.51419    errv: 2.53059
errt: 3.44383    errv: 3.25378
errt: 3.47566    errv: 2.85802
k= 64
errt: 3.44886    errv: 3.71473
errt: 3.55876    errv: 2.68580
errt: 3.32102    errv: 4.88781
errt: 3.34634    errv: 4.63093
errt: 3.47719    errv: 3.46546
errt: 3.40373    errv: 4.07502
errt: 3.56779    errv: 2.57844
errt: 3.58061    errv: 2.49884
errt: 3.50002    errv: 3.21961
errt: 3.54728    errv: 2.80798
k= 128 errv: 3.44366
errt: 3.49043    errv: 3.71698
errt: 3.60561    errv: 2.65092
errt: 3.36462    errv: 4.86295
errt: 3.38831    errv: 4.61193
errt: 3.51895    errv: 3.46183
errt: 3.45345    errv: 4.06082
errt: 3.61444    errv: 2.56117
errt: 3.62286    errv: 2.48053
errt: 3.54171    errv: 3.20771
errt: 3.58670    errv: 2.82176
k= 256
errt: 3.52018    errv: 3.74280
errt: 3.63758    errv: 2.65399
errt: 3.39548    errv: 4.88051
errt: 3.42387    errv: 4.62074
errt: 3.55124    errv: 3.47139
errt: 3.48336    errv: 4.08315
errt: 3.64978    errv: 2.55209
errt: 3.65780    errv: 2.48305
errt: 3.57878    errv: 3.19412
errt: 3.62287    errv: 2.82026
k= 512
errt: 3.54410    errv: 3.76001
errt: 3.66438    errv: 2.65622
errt: 3.42180    errv: 4.90006
errt: 3.45063    errv: 4.62956
errt: 3.57624    errv: 3.49236
errt: 3.50889    errv: 4.10491
errt: 3.67682    errv: 2.55743
errt: 3.68386    errv: 2.50040
errt: 3.60645    errv: 3.19612
errt: 3.64796    errv: 2.83692
k= 1024
errt: 3.56813    errv: 3.77492
errt: 3.68942    errv: 2.66082
errt: 3.44374    errv: 4.92257
errt: 3.47195    errv: 4.65924
errt: 3.59753    errv: 3.53045
errt: 3.53128    errv: 4.12309
errt: 3.70075    errv: 2.56879
errt: 3.70780    errv: 2.51880
errt: 3.63127    errv: 3.20389
errt: 3.67058    errv: 2.85686
k= 2048
errt: 3.58783    errv: 3.78965
errt: 3.71074    errv: 2.66893
errt: 3.46258    errv: 4.93783
errt: 3.49068    errv: 4.67894
errt: 3.61598    errv: 3.55576
errt: 3.54995    errv: 4.13948
errt: 3.72175    errv: 2.57548
errt: 3.72770    errv: 2.53705
errt: 3.65124    errv: 3.21816
errt: 3.69012    errv: 2.87463
k= 4096
errt: 3.60977    errv: 3.81163
errt: 3.73508    errv: 2.67790
errt: 3.48436    errv: 4.95868
errt: 3.51229    errv: 4.70028
errt: 3.63697    errv: 3.58458
errt: 3.57145    errv: 4.16224
errt: 3.74537    errv: 2.58641
errt: 3.75008    errv: 2.55856
errt: 3.67383    errv: 3.23758
errt: 3.71170    errv: 2.90022
